"variable","mean","wmean","sd","min","max","n"
"Literacy Skills",256.829822011571,260.905270107743,53.7421886061036,23.829144,420.666956,67669
"ALE Participation",0.416677893035161,0.469122189165176,0.49301223590128,0,1,66807
"Foreign-Born",0.133370653917148,0.254060809847625,0.339977457168937,0,1,66094
"Has Children",0.726832079681981,0.688317902378168,0.445589656258444,0,1,67669
"Non-Native Speaker",0.104971706962811,0.195341272264131,0.306519280343074,0,1,66094
"Primary Education",0.116693216314508,0.129055128838658,0.321056784135303,0,1,66542
"Secondary Education",0.414264674942142,0.385695272152525,0.492598315722765,0,1,66542
"Tertiary Education",0.46904210874335,0.485249599008817,0.499044438550342,0,1,66542
"Listwise Missing Cases",1,1,0,1,1,1864
"aweight",22.7875116825497,497.707125366199,104.030746303497,1,3988.08159950784,67669
