"variable","mean","wmean","sd","min","max","n"
"Literacy Skills",259.074450284762,263.659037355888,56.7086096002127,16.757752,449.496588,67990
"ALE Participation",0.404668227946916,0.482284520844891,0.490831554206867,0,1,64050
"Foreign-Born",0.126519211897033,0.244721110647714,0.33243611330319,0,1,66235
"Has Children",0.543756434769819,0.510145896444737,0.498085357464791,0,1,67990
"Non-Native Speaker",0.104808635917566,0.185475035630384,0.306308998080145,0,1,66235
"Primary Education",0.168419160600342,0.183253079393598,0.374240891387851,0,1,66762
"Secondary Education",0.456741859141428,0.421435670589984,0.498128949089859,0,1,66762
"Tertiary Education",0.374838980258231,0.395311250016418,0.484084940058314,0,1,66762
"Currently in Education",0.135711133990293,0.161964005579466,0.342484083260292,0,1,67990
"Listwise Missing Cases",1,1,0,1,1,5083
"aweight",27.3707250706783,533.168735131545,117.661641568964,1,5103.88319682667,67990
